0	0
1	1
2	1
3	2
4	2
5	3
6	3
7	4
8	5
9	5
10	6
11	6
12	6
13	7
14	7
15	8
16	9
17	9
18	10
19	9
20	10
21	11
22	11
23	12
24	13
25	13
26	14
27	14
28	14
29	14
30	16
31	17
32	17
33	17
34	18
35	18
36	19
37	19
38	19
39	19
40	21
41	20
42	21
43	22
44	23
45	23
46	23
47	23
48	24
49	25
50	26
51	26
52	26
53	26
54	28
55	28
56	29
57	30
58	32
59	29
60	30
61	31
62	31
63	32
64	31
65	34
66	34
67	33
68	35
69	35
70	35
71	36
72	36
73	37
74	38
75	38
76	39
77	41
78	40
79	40
80	42
81	40
82	40
83	41
84	42
85	42
86	43
87	44
88	47
89	45
90	46
91	45
92	47
93	47
94	48
95	47
96	49
97	48
98	49
99	50
100	49
101	52
102	51
103	50
104	51
105	52
106	53
107	55
108	54
109	53
110	55
111	58
112	55
113	57
114	57
115	58
116	58
117	58
118	58
119	59
120	57
121	59
122	61
123	63
124	62
125	65
126	65
127	64
128	59
129	67
130	67
131	67
132	68
133	68
134	69
135	69
136	69
137	70
138	66
139	69
140	70
141	71
142	72
143	70
144	71
145	73
146	71
147	73
148	73
149	76
150	75
151	78
152	78
153	74
154	77
155	80
156	76
157	76
158	79
159	82
160	78
161	81
162	82
163	84
164	80
165	83
166	85
167	82
168	86
169	88
170	86
171	86
172	89
173	89
174	88
175	87
176	89
177	89
178	92
179	87
180	91
181	87
182	89
183	91
184	86
185	94
186	95
187	93
188	93
189	93
190	91
191	98
192	93
193	96
194	99
195	103
196	99
197	98
198	98
199	102
200	101
201	93
202	103
203	100
204	100
205	102
206	102
207	105
208	104
209	105
210	111
211	109
212	104
213	109
214	107
215	103
216	113
217	108
218	107
219	111
220	112
221	109
222	113
223	110
224	112
225	116
226	110
227	112
228	111
229	115
230	116
231	112
232	118
233	119
234	114
235	114
236	121
237	120
238	118
239	118
240	122
241	120
242	118
243	124
244	121
245	124
246	129
247	126
248	124
249	126
250	128
251	126
252	121
253	130
254	130
255	131
256	121
257	126
258	130
259	127
260	132
261	133
262	133
263	131
264	129
265	132
266	126
267	135
268	136
269	140
270	131
271	132
272	138
273	139
274	138
275	143
276	140
277	131
278	141
279	144
280	143
281	141
282	142
283	139
284	139
285	147
286	144
287	142
288	141
289	147
290	144
291	147
292	153
293	148
294	150
295	148
296	157
297	147
298	148
299	146
300	145
301	147
302	151
303	159
304	155
305	154
306	152
307	155
308	157
309	156
310	159
311	151
312	158
313	158
314	156
315	152
316	158
317	157
318	153
319	164
320	160
321	160
322	161
323	165
324	168
325	164
326	162
327	167
328	163
329	161
330	163
331	165
332	170
333	162
334	172
335	174
336	171
337	163
338	169
339	166
340	168
341	168
342	173
343	178
344	182
345	174
346	170
347	175
348	170
349	182
350	179
351	180
352	179
353	185
354	181
355	179
356	180
357	192
358	181
359	181
360	179
361	178
362	180
363	187
364	186
365	192
366	183
367	189
368	185
369	181
370	186
371	189
372	180
373	197
374	186
375	189
376	197
377	194
378	192
379	181
380	194
381	183
382	194
383	190
384	182
385	183
386	196
387	195
388	198
389	193
390	190
391	200
392	195
393	194
394	197
395	204
396	197
397	203
398	203
399	193
400	211
401	205
402	201
403	210
404	204
405	198
406	205
407	210
408	193
409	204
410	208
411	192
412	209
413	202
414	208
415	202
416	212
417	209
418	204
419	210
420	213
421	218
422	211
423	215
424	220
425	226
426	210
427	212
428	215
429	231
430	213
431	217
432	217
433	229
434	210
435	216
436	220
437	224
438	218
439	225
440	210
441	228
442	217
443	225
444	225
445	216
446	220
447	228
448	228
449	227
450	238
451	218
452	219
453	224
454	225
455	222
456	234
457	234
458	237
459	224
460	231
461	236
462	237
463	219
464	237
465	239
466	229
467	227
468	233
469	232
470	234
471	237
472	235
473	239
474	222
475	235
476	239
477	239
478	251
479	234
480	228
481	246
482	241
483	239
484	242
485	238
486	245
487	232
488	241
489	237
490	252
491	242
492	241
493	241
494	253
495	237
496	247
497	243
498	254
499	253
